Title,label,Relative Potential Energy-S-OPLS,Conformation-S-OPLS
PMC23,PMC23,0,1
PMC23,PMC23_1,0.99,2
PMC23,PMC23_2,2.377,3
PMC23,PMC23_3,4.346,4
PMC23,PMC23_4,4.469,5
PMC23,PMC23_5,5.705,6
PMC23,PMC23_6,13.75,7
PMC23,PMC23_7,16.235,8
PMC43,PMC43,0,1
PMC43,PMC43_1,0.286,2
PMC43,PMC43_2,0.824,3
PMC43,PMC43_3,1.306,4
PMC43,PMC43_4,1.747,5
SFH,SFH,0,1
SFH,SFH_1,0.969,2
SFH,SFH_2,6.617,3
SFH,SFH_3,9.815,4
SFO,SFO,0,1
SFO,SFO_1,3.268,2
SFO,SFO_2,3.779,3
SFK,SFK,0,1
SFK,SFK_1,0.138,2
SFK,SFK_2,2.735,3
SFK,SFK_3,2.921,4
SFK,SFK_4,3.581,5
SFK,SFK_5,3.629,6
SFK,SFK_6,3.653,7
SFK,SFK_7,4.483,8
SFK,SFK_8,4.695,9
SFK,SFK_9,5.593,10
SFK,SFK_10,5.946,11
SFK,SFK_11,6.416,12
SFK,SFK_12,6.48,13
SFK,SFK_13,7.209,14
SFK,SFK_14,7.398,15
SFK,SFK_15,7.474,16
SFK,SFK_16,7.648,17
SFK,SFK_17,7.99,18
SFK,SFK_18,8.464,19
SFK,SFK_19,9.789,20
SFK,SFK_20,9.832,21
SFK,SFK_21,9.952,22
SFK,SFK_22,10.925,23
SFK,SFK_23,12.251,24
PMC19,PMC19,0,1
PMC19,PMC19_1,1.469,2
PMC19,PMC19_2,1.544,3
PMC19,PMC19_3,2.726,4
PMC19,PMC19_4,3.628,5
PMC19,PMC19_5,4.076,6
PMC19,PMC19_6,4.61,7
PMC19,PMC19_7,5.125,8
PMC19,PMC19_8,6.916,9
PMC19,PMC19_9,7.127,10
PMC19,PMC19_10,7.295,11
PMC19,PMC19_11,7.609,12
PMC19,PMC19_12,7.981,13
PMC19,PMC19_13,8.35,14
PMC19,PMC19_14,9.085,15
PMC19,PMC19_15,9.451,16
PMC19,PMC19_16,9.817,17
PMC19,PMC19_17,10.262,18
PMC19,PMC19_18,10.872,19
PMC19,PMC19_19,12.275,20
PMC19,PMC19_20,12.871,21
PMC19,PMC19_21,13.087,22
PMC19,PMC19_22,14.263,23
PMC19,PMC19_23,15.104,24
PMC19,PMC19_24,15.254,25
PMC19,PMC19_25,15.264,26
PMC19,PMC19_26,17.875,27
PMC19,PMC19_27,18.71,28
PMC19,PMC19_28,19.506,29
PMC19,PMC19_29,19.774,30
PMC19,PMC19_30,19.941,31
PMC19,PMC19_31,20.059,32
PMC19,PMC19_32,20.355,33
PMC19,PMC19_33,20.57,34
PMC19,PMC19_34,20.571,35
PMC19,PMC19_35,20.752,36
PMC26,PMC26,0,1
PMC26,PMC26_1,0.358,2
PMC26,PMC26_2,2.114,3
PMC26,PMC26_3,2.81,4
PMC26,PMC26_4,2.873,5
PMC26,PMC26_5,8.245,6
PMC26,PMC26_6,14.579,7
PMC31,PMC31,0,1
PMC31,PMC31_1,4.756,2
PMC31,PMC31_2,6.685,3
PMC31,PMC31_3,9.804,4
PMC31,PMC31_4,13.997,5
PMC31,PMC31_5,17.818,6
PMC31,PMC31_6,19.267,7
PMC37,PMC37,0,1
PMC37,PMC37_1,4.495,2
PMC37,PMC37_2,13.891,3
PMC37,PMC37_3,19.612,4
